Presynaptic column	Presynaptic cell type	Connected presynaptic cells
E4	L45Sym	0
E4	L56Trans	0
E4	SymLocal1	0
E4	SymLocal2	0
E4	SymLocal3	0
E4	SymLocal4	0
E4	SymLocal5	0
E4	SymLocal6	0
Gamma	L2	74
Gamma	L34	56
Gamma	L4py	30
Gamma	L4sp	13
Gamma	L4ss	33
Gamma	L5st	36
Gamma	L5tt	2
Gamma	L6cc	109
Gamma	L6ccinv	129
Gamma	L6ct	27
Gamma	VPM	7
Gamma	L1	1
Gamma	L23Trans	0
Gamma	L45Peak	3
Gamma	L45Sym	4
Gamma	L56Trans	7
Gamma	SymLocal1	0
Gamma	SymLocal2	0
Gamma	SymLocal3	1
Gamma	SymLocal4	4
Gamma	SymLocal5	1
Gamma	SymLocal6	0
